Cat,Profile,h,b,tw,tf,r,m,P,A,Iy,iy,Wely,Wply,Iz,iz,Welz,Wplz,IT,WT,Iw,Ww
UB,UB460x280x193,489,283,17,30.5,20,195.3,2.042,24882,1035000000,203.9,4232000,4808000,115500000,68.1,815900,1257000,6410000,377100,6.07E+12,187100000
UB,UB460x280x213,495,285,18.5,33.5,20,214.7,2.059,27356,1154000000,205.4,4664000,5325000,129500000,68.8,909100,1402000,8430000,455700,6.9E+12,209800000
UB,UB460x280x235,501,287,20.6,36.6,20,236.8,2.074,30164,1285000000,206.4,5128000,5893000,144600000,69.2,1008000,1558000,11060000,536900,7.8E+12,234100000
UB,UB460x280x260,509,289,22.6,40.4,20,262,2.094,33372,1448000000,208.3,5690000,6579000,163000000,69.9,1128000,1747000,14790000,654400,8.95E+12,264400000
UB,UB460x280x286,517,291,24.4,44.4,20,287.6,2.115,36632,1622000000,210.4,6274000,7297000,183000000,70.7,1258000,1949000,19420000,795900,1.02E+13,296700000
UB,UB460x280x315,525,293,26.9,48.5,20,316.2,2.134,40278,1810000000,212,6894000,8075000,204100000,71.2,1393000,2165000,25370000,943100,1.16E+13,332300000
UB,UB533x165x66,525,165,8.9,11.4,13,65.7,1.67,8370,350300000,204.6,1335000,1561000,8588000,32,104000,166300,320000,35960,5.66E+11,26720000
UB,UB533x165x74,529,166,9.7,13.6,13,74.7,1.681,9519,410600000,207.7,1552000,1808000,10400000,33,125300,200000,479000,49380,6.91E+11,32320000
UB,UB533x165x85,535,166,10.3,16.5,13,84.8,1.693,10803,486300000,212.2,1818000,2107000,12750000,34.4,153100,243100,738000,71650,8.57E+11,39720000
UB,UB533x210x82,528,209,9.6,13.2,13,82.2,1.851,10469,475400000,213.1,1800000,2059000,20070000,43.8,192300,300400,515000,53650,1.33E+12,49460000
UB,UB533x210x92,533,209,10.1,15.6,13,92.1,1.861,11738,552300000,216.9,2072000,2360000,23890000,45.1,228300,355600,757000,74950,1.6E+12,59090000
UB,UB533x210x101,537,210,10.8,17.4,13,101,1.87,12867,615200000,218.7,2292000,2612000,26920000,45.7,256400,399400,1010000,93520,1.81E+12,66390000
UB,UB533x210x109,540,211,11.6,18.8,13,109,1.877,13887,668200000,219.4,2477000,2828000,29430000,46,279200,435800,1260000,108600,1.99E+12,72520000
UB,UB533x210x122,544,212,12.7,21.3,13,122,1.889,15540,760400000,221.2,2793000,3196000,33880000,46.7,319700,499700,1780000,140200,2.32E+12,83700000
UB,UB533x210x138,549,214,14.7,23.6,13,138.3,1.903,17612,860900000,221.1,3136000,3613000,38640000,46.8,361300,568400,2500000,170100,2.67E+12,95010000
UB,UB533x312x150,542,312,12.7,20.3,13,150.6,2.286,19180,1006000000,229.1,3710000,4142000,102900000,73.2,659300,1010000,2160000,170100,7.01E+12,172100000
UB,UB533x312x165,546,313,14,22.2,13,165.3,2.294,21058,1110000000,229.5,4064000,4555000,113600000,73.4,725800,1113000,2830000,202100,7.79E+12,190100000
UB,UB533x312x182,551,314,15.2,24.4,13,181.5,2.307,23115,1232000000,230.9,4475000,5030000,126700000,74,805500,1237000,3730000,245400,8.77E+12,211900000
UB,UB533x312x196,554,316,16.5,26.3,13,196.5,2.317,25033,1340000000,231.4,4837000,5457000,138500000,74.4,876700,1349000,4700000,284800,9.64E+12,231200000
UB,UB533x312x219,560,317,18.3,29.2,13,218.7,2.332,27859,1510000000,232.8,5389000,6109000,155900000,74.8,982300,1515000,6420000,350800,1.1E+13,261000000
UB,UB533x312x248,571,315,19,34.5,13,246.6,2.342,31411,1775000000,237.7,6217000,7062000,180000000,75.7,1143000,1759000,9770000,514200,1.3E+13,307700000
UB,UB533x312x272,577,320,21.1,37.6,13,273.2,2.371,34808,1986000000,238.9,6882000,7858000,206100000,77,1288000,1985000,12880000,610400,1.5E+13,347300000
UB,UB610x178x82,599,178,10,12.8,20,83.4,1.854,10628,574900000,232.6,1921000,2252000,12090000,33.7,136000,220100,570000,57000,1.04E+12,39920000
UB,UB610x178x92,603,179,10.9,15,20,93.8,1.865,11953,661900000,235.3,2196000,2569000,14390000,34.7,161000,260200,810000,74310,1.24E+12,47180000
UB,UB610x178x100,607,179,11.3,17.2,20,101.9,1.875,12983,741500000,239,2441000,2844000,16610000,35.8,185300,297900,1070000,94690,1.45E+12,54840000
UB,UB610x229x101,603,228,10.5,14.8,20,102.8,2.06,13097,774000000,243.1,2569000,2939000,29170000,47.2,256400,402500,867000,82570,2.52E+12,75350000
UB,UB610x229x113,608,228,11.1,17.3,20,114.6,2.071,14599,889400000,246.8,2927000,3338000,34370000,48.5,301200,471500,1230000,110800,2.99E+12,88790000
